student_id,session_id,activity_type,activity_score,response_time,mistakes_count,feedback_rating,audio_features,writing_features,interaction_duration,device_type,timestamp,environment_temp,environment_noise_level,performance_category
82,5e2455a5-d025-4f61-b85a-8470642ab494,listening,72.04,4.28,0,1,"[0.13319825261907953, 0.6486079005819072, 0.5524111209059753, 0.14633087612499043, 0.35078181781295026]","[90.82658859666537, 23.95618906669724, 14.48948720912231]",31.92,smartboard,2024-02-23 14:18:09,24.93,37.26,0
64,b543e77c-7ede-4f28-b2c0-ae4c42f594ee,speaking,86.89,8.09,2,5,"[0.3138737895931597, 0.7553947137506736, 0.43100481944732794, 0.6690752475342215, 0.6701767396848052]","[53.57746840747585, 9.02897700544083, 83.5302495589238]",22.64,tablet,2024-06-27 07:14:44,20.93,31.22,1
45,94c76281-ff1d-4d82-b3a5-ebc075162450,listening,83.64,7.42,4,1,"[0.11492904603507054, 0.5608837524693528, 0.30384619767814414, 0.6806555113685049, 0.2569297861044923]","[69.09377381024659, 38.67353463005374, 93.67299887367345]",12.56,smartboard,2024-11-11 07:35:58,21.71,33.4,0
81,aa31105e-7789-4111-a630-6067c05956cc,writing,96.99,9.02,4,4,"[0.33214746494364006, 0.6939856414307611, 0.8354999801810943, 0.5996807304395161, 0.5766855205204059]","[24.18522909004517, 9.310276780589922, 89.72157579533267]",54.52,smartboard,2024-04-19 15:07:09,23.17,40.17,1
76,9d216320-dd99-4929-804e-7e7245ab7a3c,speaking,73.97,7.81,2,1,"[0.9073992339573194, 0.8983777818386056, 0.8018879912718615, 0.677828481538859, 0.17572596849554395]","[16.162871409461378, 89.85541885270793, 60.642905965958995]",5.51,wearable,2024-08-29 23:53:24,20.51,49.91,0
60,073cc905-80e0-44cf-b5fc-e45c0bbafd63,listening,60.2,3.29,1,2,"[0.5938604104299275, 0.7227056779234239, 0.6867651335523405, 0.3018423785145038, 0.7409612992127823]","[23.724908749680008, 32.539969815926774, 74.64914051180241]",40.73,smartboard,2024-07-25 00:26:57,24.25,49.73,0
18,9a793f36-93fb-4aa1-a30a-563d6ae22b4f,writing,82.73,2.75,3,4,"[0.4309442227534902, 0.3386821309135529, 0.3195906790411752, 0.975709499277201, 0.4537879522000844]","[89.20465551771133, 63.11386259972629, 79.48113035416485]",32.65,wearable,2024-04-11 15:06:47,22.88,44.78,0
87,b3fe3ea1-e531-41fc-9b88-71fb2301eff9,reading,67.81,7.78,4,1,"[0.35269512619677024, 0.12188436978830847, 0.680925066316451, 0.25939961146634405, 0.9464127259176228]","[95.39285770025873, 91.48643902204485, 37.01587002554444]",5.85,wearable,2024-03-13 09:16:43,24.64,42.85,0
63,0463fb03-d0d1-4cfb-a451-da09bbffda74,reading,98.67,9.71,4,5,"[0.8677085099206241, 0.36500400286262713, 0.4465879557417327, 0.8660230043651712, 0.38522980464064993]","[16.94927466860925, 55.68012624583501, 93.6154774160781]",43.28,tablet,2024-10-13 15:42:37,22.85,32.92,1
39,423318d7-cba6-417c-9088-2d808c370ba9,reading,84.6,9.92,4,4,"[0.22607561371287163, 0.5664966871273631, 0.8896357647351599, 0.766691755978784, 0.7273141668957411]","[70.24840839871092, 35.94911512197552, 29.359184426449335]",49.51,smartboard,2024-03-21 10:47:26,24.05,56.01,0
63,daf13f6a-16ee-42c5-b9fa-8552b6bda6f6,reading,96.53,6.09,0,1,"[0.5513646652184797, 0.8184656610700977, 0.6849675376999886, 0.731770189531933, 0.816213402492491]","[89.00053418175663, 33.79951568515358, 37.5582952639944]",10.17,smartboard,2024-07-30 18:36:58,22.89,31.08,1
51,f797b0e5-e175-4214-a771-b323e8425bdd,listening,78.62,6.34,5,1,"[0.357887126915456, 0.6317499345121097, 0.1274502249451445, 0.13361336987429298, 0.8403405045936925]","[36.019064141126286, 12.706051265188478, 52.224326005480435]",47.35,smartboard,2024-04-09 20:23:56,21.08,48.69,0
58,cc931b04-242f-4150-a47d-a2cbed7bea57,listening,63.41,2.41,0,4,"[0.5782191684113333, 0.5865716094490959, 0.6736869113483859, 0.7534822003503954, 0.9782668715162811]","[51.630034830119534, 32.2956472941246, 79.51861947687037]",19.9,smartboard,2024-01-24 20:57:13,22.19,32.35,0
24,4f3cd70b-40c6-453e-8704-15d2099da7bf,speaking,61.01,9.7,4,2,"[0.8523821084609853, 0.7263767854843282, 0.46805764997284294, 0.2559648880637612, 0.24079333840397746]","[25.024289816459532, 54.92266647061205, 71.45959227000624]",41.31,smartboard,2024-03-19 01:55:19,21.4,58.65,0
79,b96543bc-fdd0-4bb0-b5ae-05f9030932fa,writing,89.52,6.43,3,4,"[0.650548671610917, 0.47764005618501093, 0.32295789055104174, 0.4203754107861355, 0.7820614994179322]","[1.4393488629755868, 11.607264050691624, 4.600264202175275]",7.24,tablet,2024-03-05 13:25:04,24.28,51.11,1
89,7dfb6529-c3c1-4b69-82ba-12b89db12d02,writing,78.97,2.78,1,4,"[0.5424542876051491, 0.5261245937025091, 0.2558816829190137, 0.4904664843141757, 0.45865426095763606]","[61.585009805221645, 63.50936508676438, 4.530400977204452]",25.6,tablet,2024-11-22 23:31:51,23.13,45.09,0
32,7ec10cb5-af2b-49f9-9096-2958579b08aa,listening,94.26,7.27,4,3,"[0.24664098437328674, 0.16351187266038686, 0.678177350385684, 0.12386017948745964, 0.627198023146117]","[94.02302414249576, 57.5474177875879, 38.816992620652194]",40.38,smartboard,2024-05-30 15:34:27,22.29,46.37,1
66,7d849471-185f-4272-9c37-5e9a2a6f50f0,speaking,97.66,5.09,3,3,"[0.9650715074415228, 0.9148155777604574, 0.2762120213103668, 0.16242517078764893, 0.190700201239684]","[1.8221825651549728, 9.44429607559284, 68.30067734163569]",8.92,smartboard,2024-03-25 08:22:16,21.59,55.35,1
88,60f6c065-5c05-4631-804f-a36ac7503abc,reading,60.93,8.52,4,3,"[0.35366929729606, 0.20634834485949063, 0.7270634488277355, 0.6660485621018956, 0.8897248121743476]","[73.50710438038858, 80.34809303848486, 28.203457257130648]",14.76,wearable,2024-07-06 02:56:05,23.75,54.21,0
12,b12b5cc2-ad30-45ce-a78b-859eb0883065,writing,99.62,5.3,3,3,"[0.4348162772135049, 0.7987716646677971, 0.4067231862277161, 0.9376815930432082, 0.8725714766587106]","[42.89940273750184, 75.08710677914974, 75.45428740846823]",10.67,tablet,2024-02-15 13:17:30,24.51,45.16,1
13,a63d9911-0cf1-4a07-a5bd-208c2d3b19b2,reading,93.06,4.56,2,1,"[0.9059709056465804, 0.45028151086074686, 0.10975388633226853, 0.9148437787773372, 0.18215800910752022]","[31.93136375904149, 95.0061967050805, 95.06071469375561]",36.54,tablet,2024-04-16 00:15:06,23.16,43.45,1
61,0b6091b3-d545-4803-a06b-d167453cd82d,speaking,71.73,4.63,4,4,"[0.7052666104693346, 0.7771370764939121, 0.8124211393532637, 0.8106563285150985, 0.18208549274382135]","[49.442030470258146, 5.755876001664428, 54.95288823237355]",29.28,wearable,2024-10-12 20:04:23,24.44,40.53,0
4,5e74226a-5291-41dd-8a24-cb7fb694ec11,listening,64.68,3.14,1,1,"[0.785359568545725, 0.656396256984635, 0.1910104085105112, 0.1756961255034977, 0.730872218313208]","[7.276300636419353, 82.18600592903562, 70.62422271564962]",9.47,smartboard,2024-04-21 21:00:35,20.42,59.6,0
70,3e433524-0800-47f1-9126-5e817bdeeec3,listening,74.97,4.97,2,3,"[0.8315196105317523, 0.9525237196454728, 0.9874009574405838, 0.7780403667330474, 0.43863362697782415]","[8.350071669866876, 77.71469159274368, 55.840424973580504]",28.33,tablet,2024-10-26 04:51:06,24.53,33.34,0
99,74718722-b018-447c-a74e-b9ca7b9e5ae4,reading,79.71,2.09,3,1,"[0.5217945777947136, 0.15067294811365362, 0.20693612464126473, 0.2057736220993944, 0.6842892719044572]","[74.60448792654233, 58.336876509715964, 96.21725484745419]",25.62,smartboard,2024-02-13 00:13:53,21.43,56.06,0
16,3149ecaa-9768-4ad4-b936-25aa98e5ad6f,listening,68.94,9.71,5,4,"[0.11093902722083471, 0.9728909440368751, 0.13884392075551852, 0.902028802328264, 0.5749309981776699]","[99.29647961193004, 7.379656473539886, 55.38542844013208]",58.31,wearable,2024-11-20 22:21:54,22.62,48.88,0
36,c9041fb9-47f5-4f00-9a29-0f4bd99a558c,reading,87.83,5.64,3,2,"[0.6648022720756571, 0.6258828807307902, 0.9110422094418901, 0.1409017423073121, 0.35286687063300726]","[95.04114840765587, 89.02637838909163, 45.56567527857129]",39.11,wearable,2024-05-01 18:00:03,21.39,35.64,1
9,31f6808d-2e27-4d81-b846-03c49bb21892,writing,78.55,4.83,3,3,"[0.6252905006657848, 0.16996117326848637, 0.9769553268995498, 0.9875896700316426, 0.7283455426177706]","[53.60963663441204, 30.952761628632775, 81.37950197069486]",42.66,wearable,2024-07-20 16:37:24,20.81,57.33,0
30,0f9e94f5-34f2-4aaf-8df2-6d7ee4911960,reading,92.9,9.6,3,4,"[0.753147557549524, 0.6520736763422109, 0.476418732661557, 0.939455635018612, 0.8794575005503675]","[4.521867010618941, 2.6366974497252005, 37.64633668780496]",49.58,smartboard,2024-03-15 04:42:45,24.94,34.51,1
54,77589278-b4e5-48e8-be60-bb84bac0c168,reading,83.77,5.05,0,3,"[0.9729229580331429, 0.8579070308221378, 0.8544958342400241, 0.5218238438154733, 0.4733375521038987]","[27.340707193070624, 5.6375496650927115, 86.47223762550531]",49.71,wearable,2024-10-22 14:34:21,25.0,59.9,0
5,363fb57c-73ac-4b46-812e-1005aa6ab501,writing,82.22,8.15,5,3,"[0.9502891568941852, 0.8646826516096703, 0.3226132915688779, 0.5054897217790841, 0.2162434736363455]","[95.40510272587224, 60.617463445088006, 22.864280550346272]",41.94,smartboard,2024-03-04 06:27:16,23.09,40.74,0
14,6d62c1cf-9c0e-45b5-bc6d-315fa5275675,listening,64.54,7.37,4,3,"[0.568276930813414, 0.7950865525620754, 0.568147151000794, 0.8669633502866861, 0.596716154897037]","[56.093797153538624, 87.66536026583451, 40.3482866212397]",12.37,tablet,2024-04-06 17:16:44,20.14,52.65,0
37,b021f693-ef61-47cb-ac18-bdc61cddcf88,writing,84.81,7.63,5,1,"[0.29166774535801965, 0.2227343280280928, 0.11309019910109375, 0.4155288029259373, 0.6309259181691698]","[39.22440450997323, 43.747492202372904, 90.41586944937484]",24.15,smartboard,2024-08-26 07:48:07,22.57,53.51,0
70,610460b9-2e5a-4ed4-a43c-81cae059189f,listening,75.86,6.98,5,4,"[0.8761273378720706, 0.954568561291878, 0.23236613283613416, 0.9339288626453449, 0.5429046637715844]","[25.824438829895836, 45.913575623826134, 98.0032575285477]",32.09,smartboard,2024-06-07 17:48:19,21.64,49.0,0
61,199e9544-6bd9-4935-97f0-70cea0a0ebb3,writing,69.61,2.61,0,4,"[0.2159917497195843, 0.2152412550619952, 0.23671242416106492, 0.2249444553844691, 0.6767872703228931]","[18.188008439914483, 34.56672833238632, 89.67884099060119]",31.07,tablet,2024-04-21 21:39:51,23.34,35.17,0
46,dd7a8af5-57bb-4903-869d-f58f743ee32c,listening,67.69,2.33,4,1,"[0.2520415567649481, 0.3507313051287628, 0.2593094358490722, 0.17983228038135007, 0.20857228399054073]","[46.077876803272574, 20.63337184057925, 36.42698610480755]",32.69,tablet,2024-04-30 07:23:51,23.45,31.18,0
51,05d9306a-b8a9-4a2a-95cd-54ba8cd1309a,listening,91.98,7.02,3,5,"[0.17358312875398474, 0.8862207616960995, 0.9287851604786319, 0.1549701638693774, 0.34918988333248335]","[80.62012797930613, 74.82596903836584, 18.45210193563773]",16.51,tablet,2024-10-31 19:55:30,21.85,44.54,1
95,49522f0f-c58c-47ca-93d6-4d545c0e6291,reading,84.73,4.95,4,3,"[0.5162812445198331, 0.7727238443203809, 0.13301488260153813, 0.3271932499096187, 0.7420146272960972]","[89.52068376871993, 51.167744211566614, 53.211348526531566]",10.89,smartboard,2024-11-05 16:45:44,22.24,45.98,0
1,9c3680f5-7176-4b32-910e-876d65af8ac1,listening,69.7,4.15,1,5,"[0.43955574679416043, 0.11806407799995373, 0.3898712490248605, 0.2903032062968902, 0.39474761696012317]","[11.976213181925122, 89.0527280739895, 59.359245355404866]",42.35,wearable,2024-11-22 05:17:36,23.95,44.95,0
54,b38ef848-9e08-45f1-814d-ab56508f197c,speaking,63.48,6.3,3,5,"[0.6281570062187912, 0.770895526765897, 0.48849359160671146, 0.21482227251600738, 0.355398315218852]","[36.30822963986351, 64.59172413316013, 57.077830466891186]",24.59,smartboard,2024-06-19 17:41:49,24.93,48.17,0
31,8171a4eb-14fe-49bc-bf42-379c80f131c0,speaking,69.49,2.81,3,1,"[0.23757322526589883, 0.32136195554605734, 0.24461323593360013, 0.26791032164617523, 0.35658565182446245]","[17.33735952947548, 89.67654246264252, 8.023374566164222]",33.85,tablet,2024-09-29 18:09:46,22.05,59.47,0
31,af676f05-f66e-4a0a-94ad-2f68dddb0240,reading,64.48,5.18,3,1,"[0.9725233899478319, 0.8789564133045822, 0.8353648638543519, 0.33211254434044585, 0.25379882865105924]","[66.8643219924431, 92.93759891275857, 55.67628930139298]",36.44,tablet,2024-03-23 18:06:32,21.4,53.08,0
65,0e4ca79a-84d1-4e7a-8449-f711c26236a2,writing,67.48,4.59,3,4,"[0.4828927947547751, 0.5568493408160096, 0.31816875917357224, 0.20335314226528317, 0.6495580381974694]","[28.863055324025577, 58.123822142261226, 15.436271527420232]",31.46,wearable,2024-08-05 21:40:48,22.66,31.55,0
7,9999b3d1-6005-4dcb-8c78-c35d7b70b6d7,reading,73.46,3.08,5,4,"[0.157037473425491, 0.9909642091509507, 0.39011846047725074, 0.8288870012691714, 0.32917658928738747]","[68.15027222239293, 76.02278598896865, 59.56387406078443]",30.94,tablet,2024-06-29 21:30:22,22.06,40.47,0
45,df4918e7-eb45-47bc-9be0-7f3b8b37c7c4,speaking,97.18,8.64,5,3,"[0.9685242195998613, 0.21186750113699027, 0.7577807276832799, 0.9445064111389341, 0.26310975954909416]","[6.6496267366777495, 74.11206492900591, 57.44731131799119]",51.3,smartboard,2024-01-18 07:41:23,20.7,53.86,1
65,fcc25feb-9b8c-4e0f-877b-0553264689e7,reading,68.07,3.31,4,1,"[0.24783921813789367, 0.8331172482082438, 0.6986774986265801, 0.5707588822922074, 0.42294743571115223]","[87.72005408131082, 39.244510742263536, 81.65994394715771]",29.15,wearable,2024-03-30 05:51:32,21.88,43.88,0
62,adb8dd38-e5e9-4753-9c82-b85fd6983587,writing,72.06,7.98,1,4,"[0.5524483510832312, 0.30899142563213555, 0.9096171159471116, 0.44550209923589024, 0.5891975750025897]","[90.6472110964547, 62.42379959139921, 11.689804070836407]",56.69,smartboard,2024-03-16 01:23:27,23.14,40.05,0
33,4513d4c0-0841-41b1-b0a0-7594661d8ecd,speaking,65.57,8.35,1,3,"[0.6580654803356621, 0.5801149827786893, 0.9045033247458619, 0.8097374901020776, 0.23650739175947608]","[31.172206779554823, 24.848913981446575, 74.3946292572677]",6.84,tablet,2024-01-17 14:40:14,22.85,52.87,0
71,3fafd071-3f15-4899-9d21-63d1de7bce14,speaking,95.07,4.74,2,1,"[0.8391315742048115, 0.19956856325968653, 0.8618070625610663, 0.21473979609878419, 0.4575585615043306]","[79.72953657795536, 14.991742734877377, 22.92513952326415]",44.72,tablet,2024-08-11 18:58:13,23.6,49.23,1
74,983b3dcb-df2e-445b-842d-eeddea3d6e40,speaking,87.76,6.34,1,3,"[0.3266191530162575, 0.4111263941535275, 0.2634379451212831, 0.9176055052002655, 0.6250526152895084]","[40.08514167636399, 46.20058036441327, 94.72833396118153]",13.43,tablet,2024-06-01 02:57:18,22.93,45.18,1
76,8e1e6021-2f6b-4580-b707-5bb5d79df68b,listening,84.46,2.14,3,1,"[0.8849115180497363, 0.9389064542352511, 0.608619865230288, 0.726985741489203, 0.9302494430595661]","[70.72386343133986, 15.253904291426135, 57.62883601668132]",38.37,wearable,2024-01-29 11:36:50,22.12,52.09,0
74,df5533b5-dc59-421c-87ce-89dd7080802c,reading,97.37,9.4,2,5,"[0.5057554342637189, 0.20191424125667973, 0.9863570790661012, 0.8550082778013407, 0.21219641308294018]","[92.08418826173724, 86.98963620621282, 51.88380571260721]",37.52,wearable,2024-05-10 22:08:08,22.0,31.64,1
20,f545866d-eb99-4a0a-bad9-3e71b430ec22,speaking,73.41,8.42,4,5,"[0.10416882070414257, 0.40014925452202976, 0.45835182423184895, 0.5836560426441306, 0.9278700547714844]","[34.634599436596126, 34.69532018962277, 73.75012481097484]",29.87,smartboard,2024-08-21 02:12:01,21.12,43.57,0
72,00f05579-2a9a-44e2-8182-9804174733ab,listening,65.63,3.41,0,2,"[0.5485309954655317, 0.4770329045540931, 0.92336131096129, 0.4261545092049698, 0.6225295152502391]","[63.22642879195304, 1.3094456588333636, 66.35373720167107]",14.79,smartboard,2024-02-29 10:46:20,24.81,34.46,0
86,66d869e5-776d-4a48-aa57-861698bdabfe,writing,76.58,2.68,2,5,"[0.9971868266613526, 0.5519755092981183, 0.6358465155880394, 0.16036882964958474, 0.77496442335926]","[20.990559309558577, 89.80542894407138, 20.513964048200716]",15.49,tablet,2024-09-05 01:04:05,20.18,44.16,0
49,71e5d452-63e2-4371-b408-0137c515b36d,speaking,82.59,2.53,3,4,"[0.7979748550255095, 0.5079599512732249, 0.5719512423948221, 0.4966864722444053, 0.4606867547877934]","[55.96403313082179, 15.52402459307125, 18.19281304952711]",52.4,wearable,2024-02-19 07:02:16,24.73,41.2,0
82,f1618ac6-92a6-435a-a8bb-2814a070fdc5,writing,70.83,7.15,4,5,"[0.46786075398828675, 0.12284772009431039, 0.24053733762957133, 0.7443750059626578, 0.6930315477191362]","[2.709599250348349, 22.197216193294945, 23.10747965880714]",41.95,wearable,2024-03-08 08:33:04,20.1,33.12,0
62,26664c0c-b7df-4ea8-a042-5f42b1c568a4,writing,92.0,3.43,1,4,"[0.6874714970666872, 0.31436450294205387, 0.18949725348341065, 0.3188549718995087, 0.7500402386700933]","[85.56964681062857, 83.02198645669915, 39.71835296184548]",41.74,smartboard,2024-10-19 07:35:39,21.02,38.79,1
48,d716d629-d8dd-4677-b556-6b4ba7a9cfb7,reading,95.85,2.1,3,3,"[0.17695767776902127, 0.2870976296314246, 0.12387898348643775, 0.26329189158081756, 0.624737404872723]","[42.1424550592498, 89.26717110769748, 81.7443561738441]",23.8,wearable,2024-01-09 08:48:41,21.3,41.39,1
6,8ed67c28-9880-40b3-8e91-70a6926f5b96,listening,83.61,4.14,2,3,"[0.6617340170642206, 0.46847048697211635, 0.5968424627667822, 0.492513876221785, 0.3650191835877259]","[94.84533069621567, 76.36057941597608, 14.011317576645254]",52.77,tablet,2024-03-18 11:49:41,22.44,56.84,0
12,a23dba37-a5a7-410c-b7d4-e40d31321f8a,listening,91.99,5.4,2,1,"[0.12022237748810566, 0.3418096234464515, 0.5874707931947802, 0.6701303978435326, 0.3320989168898821]","[13.935607407282413, 83.4930236799299, 98.44021807035521]",33.91,tablet,2024-09-11 13:10:46,20.86,38.17,1
67,cc604e04-a94e-4f77-bc18-d8037b6dfbfd,speaking,60.74,9.31,0,3,"[0.20597597460112704, 0.6188648279628282, 0.3466496986184854, 0.5987602022642141, 0.6862783495166778]","[82.97418037072016, 20.64212717606032, 1.0995828658480478]",12.53,tablet,2024-01-31 13:18:32,24.5,56.22,0
13,439c01c5-d61d-4934-a202-8bb89851ef02,speaking,83.9,6.8,0,5,"[0.6985330070916299, 0.2578341507611046, 0.9229707513324638, 0.47689347240286584, 0.44482467542454773]","[51.89177052828376, 4.696596677505505, 16.628336875607943]",45.59,wearable,2024-07-02 21:55:52,20.41,48.09,0
8,d207a088-ed70-4c44-adb1-29c53f404fc7,listening,69.81,5.11,1,2,"[0.35982436309362986, 0.42010544481845424, 0.7471413146658209, 0.3674095440608576, 0.6097641762672075]","[47.60504021990997, 66.36711653626482, 93.6829739324758]",45.29,tablet,2024-04-19 05:20:07,21.07,30.94,0
32,e1052894-d859-441d-a305-71565e6eada1,listening,70.49,6.76,3,2,"[0.14628323213582534, 0.5467296224811127, 0.6371585640252003, 0.4008195017352647, 0.7938209833712397]","[10.65982531337718, 7.513778173580876, 72.81887562036033]",32.25,smartboard,2024-04-17 00:12:24,23.44,43.04,0
57,8735229f-c7b1-4793-96d8-deac87727257,writing,69.86,8.55,5,2,"[0.8194742910720814, 0.7252268237689841, 0.34493062350696646, 0.6312076001821784, 0.4248765072460241]","[9.158207332663416, 91.73135754622427, 13.68186309189614]",57.26,wearable,2024-04-06 10:17:50,22.23,35.55,0
32,52ba1002-b92b-4de3-9161-780389291070,reading,81.68,8.98,2,1,"[0.759002397768605, 0.8259050330753047, 0.6929050300396457, 0.7230489080660673, 0.8642760864087874]","[24.966800885918595, 48.942496364314046, 22.120944181960223]",59.32,wearable,2024-05-01 18:39:53,24.72,31.18,0
15,6bb2697a-7933-4cab-ba9c-7ac9a20146b9,speaking,88.22,9.4,4,5,"[0.2625178106146002, 0.6111507074973666, 0.9239394678292376, 0.13055138072721897, 0.7276782405221559]","[29.734900737255078, 92.43961953765304, 97.10582451653677]",56.93,wearable,2024-09-03 06:57:55,22.37,55.86,1
71,35ef7f2e-badc-41d3-8214-e6f503bd93cc,reading,93.78,4.55,1,4,"[0.8460239267356096, 0.13330687124394336, 0.6366428906338477, 0.30700795355893273, 0.20851019719955094]","[7.695320162920916, 69.62887758781397, 33.98749637680661]",44.86,wearable,2024-10-22 20:41:59,20.33,39.46,1
84,4974c4e3-61e6-467b-9d4f-b829dbb3eaa2,writing,81.58,8.33,4,4,"[0.38687725263886297, 0.6633022387933082, 0.8973799734125684, 0.6542768693640741, 0.3096635272782704]","[2.440078155653802, 87.00988739009298, 2.126941085038714]",53.11,tablet,2024-04-02 01:13:27,22.64,58.17,0
55,ac534189-370a-4ddb-9519-802d6b82496c,reading,91.95,9.98,0,5,"[0.41564063390653916, 0.7904694600380142, 0.46173782224831794, 0.5318880582735179, 0.6647549168965331]","[87.36771141863387, 98.40834691992951, 76.82734138645182]",27.98,wearable,2024-11-08 08:15:33,22.11,52.13,1
89,24823690-0100-46de-92f5-ecca22bfaf8b,reading,69.55,2.88,3,3,"[0.4191599418766989, 0.3585150924886735, 0.36667730841039115, 0.31024697594491896, 0.1378838706727257]","[1.787393473341381, 98.77223897360315, 42.77731337358623]",26.14,tablet,2024-06-27 16:53:51,23.4,36.55,0
49,f483562f-566d-43e0-9259-680f89d8b91d,writing,98.0,8.29,4,5,"[0.18046990208103358, 0.4758226982064355, 0.8912064768059482, 0.9502588200622692, 0.5206613601248827]","[61.34113892107077, 16.70339460920752, 99.11686261369765]",17.74,tablet,2024-08-11 17:27:42,24.71,49.49,1
36,70569c4d-eb2b-46ed-80e7-3f31b743ba24,reading,84.31,6.1,1,1,"[0.3076028305459828, 0.25887522880495745, 0.2984375881631578, 0.2677944359298291, 0.801626026210078]","[35.01252591667301, 5.784267656339637, 96.91026301408114]",53.61,tablet,2024-01-21 18:00:24,24.64,59.85,0
9,1733470f-e89f-42be-8853-42ebec14690f,listening,66.96,5.17,0,3,"[0.7824146281336821, 0.726418556248413, 0.23850631570586955, 0.8342498124915559, 0.3019965146529946]","[22.38176148226231, 53.69744228934136, 59.293993484170315]",36.9,tablet,2024-04-16 08:06:47,20.46,56.32,0
8,6af0c626-71a9-4963-8f61-75cae76ac163,listening,70.62,3.04,1,2,"[0.8998732718820794, 0.960086348406778, 0.8759148555389056, 0.8285644672523903, 0.6897177825751195]","[55.08573706091393, 8.698675991141014, 40.845321307069874]",25.5,smartboard,2024-03-07 19:59:05,21.3,51.7,0
5,9e075d9a-3eed-40ff-a30b-8e4821b88e35,speaking,79.84,2.65,1,2,"[0.29816488175483025, 0.7149328872936364, 0.16851777354127018, 0.8660862226438918, 0.5456318743125769]","[48.0586577326648, 59.24077846595176, 82.46809659251491]",24.13,smartboard,2024-03-19 02:42:12,23.39,46.97,0
68,e9cd5eda-7379-4ef3-bc9e-380ef9043077,writing,70.68,9.03,0,4,"[0.8176834194462352, 0.6926066511925829, 0.8655235561848177, 0.8805647808638222, 0.7375266790435313]","[83.7013328363672, 69.74714616692836, 68.01407717603004]",39.02,tablet,2024-06-26 12:01:46,23.76,34.76,0
